Latitude,Longitude,Number,Street,City,State,Zip,Base Elevation,Height
39.982205,-75.163082,1842,N Bouvier St,Philadelphia,PA,19121,103.1,30
39.982247,-75.163072,1844,N Bouvier St,Philadelphia,PA,19121,103.1,30
39.98229,-75.163063,1846,N Bouvier St,Philadelphia,PA,19121,103,30
39.982121,-75.1631,1838,N Bouvier St,Philadelphia,PA,19121,103.5,30
39.982163,-75.16309,1840,N Bouvier St,Philadelphia,PA,19121,103.3,30
39.982078,-75.163109,1836,N Bouvier St,Philadelphia,PA,19121,103.6,30
39.981525,-75.163238,1810,N Bouvier St,Philadelphia,PA,19121,105.2,30
39.981568,-75.163229,1812,N Bouvier St,Philadelphia,PA,19121,105.5,30
39.981653,-75.16321,1816,N Bouvier St,Philadelphia,PA,19121,105.6,30
39.977242,-75.163419,1522,N 17th St,Philadelphia,PA,19121,106.9,40
39.977182,-75.16343,1520,N 17th St,Philadelphia,PA,19121,107.1,40
39.977301,-75.163406,1524,N 17th St,Philadelphia,PA,19121,107.1,30
39.976731,-75.163524,1504,N 17th St,Philadelphia,PA,19121,108.7,40
39.97787,-75.164234,1730,W Oxford St,Philadelphia,PA,19121,107.9,30
39.977862,-75.164174,1728,W Oxford St,Philadelphia,PA,19121,107.6,10
39.977877,-75.164295,1732,W Oxford St,Philadelphia,PA,19121,108.2,30
39.976785,-75.1639,1507,N Bouvier St,Philadelphia,PA,19121,107,30
39.976712,-75.163742,1701,Jefferson St,Philadelphia,PA,19121,107.6,40
39.977088,-75.163776,1521,N Bouvier St,Philadelphia,PA,19121,108.1,30
39.977131,-75.163767,1523,N Bouvier St,Philadelphia,PA,19121,108.4,40
39.977046,-75.163784,1519,N Bouvier St,Philadelphia,PA,19121,108.2,40
39.977002,-75.163793,1517,N Bouvier St,Philadelphia,PA,19121,108,30
39.977174,-75.163758,1525,N Bouvier St,Philadelphia,PA,19121,108.3,30
39.977218,-75.163749,1527,N Bouvier St,Philadelphia,PA,19121,108.7,30
39.977014,-75.163466,1514,N 17th St,Philadelphia,PA,19121,107.6,40
39.976958,-75.163476,1512,N 17th St,Philadelphia,PA,19121,107.9,40
39.977428,-75.163718,1537,N Bouvier St,Philadelphia,PA,19121,108.1,30
39.976868,-75.16382,1511,N Bouvier St,Philadelphia,PA,19121,107.3,30
39.976913,-75.163812,1513,N Bouvier St,Philadelphia,PA,19121,107.4,30
39.976957,-75.163802,1515,N Bouvier St,Philadelphia,PA,19121,107.6,30
40.013277,-75.185277,3324,Bowman St,Philadelphia,PA,19129,203.7,30
40.013312,-75.184654,3307,Indian Queen Ln,Philadelphia,PA,19129,212.7,30
40.013307,-75.185236,3322,Bowman St,Philadelphia,PA,19129,204.6,30
40.013348,-75.184602,3305,Indian Queen Ln,Philadelphia,PA,19129,213.4,30
40.013335,-75.185193,3320,Bowman St,Philadelphia,PA,19129,205.4,30
40.013363,-75.18515,3318,Bowman St,Philadelphia,PA,19129,206,30
40.013384,-75.184549,3303,Indian Queen Ln,Philadelphia,PA,19129,213.8,30
40.013393,-75.185107,3316,Bowman St,Philadelphia,PA,19129,207.5,30
40.013411,-75.184501,3301,Indian Queen Ln,Philadelphia,PA,19129,213.7,30
40.013423,-75.185065,3314,Bowman St,Philadelphia,PA,19129,207.4,30
40.013452,-75.185021,3312,Bowman St,Philadelphia,PA,19129,208,30
40.013481,-75.184979,3310,Bowman St,Philadelphia,PA,19129,208.8,30
40.013539,-75.184894,3306,Bowman St,Philadelphia,PA,19129,210.2,30
40.013568,-75.18485,3304,Bowman St,Philadelphia,PA,19129,210.5,30
40.013596,-75.184812,3302,Bowman St,Philadelphia,PA,19129,211.6,30
40.013621,-75.184767,3300,Bowman St,Philadelphia,PA,19129,211.5,30
40.013234,-75.187669,3500,Vaux St,Philadelphia,PA,19129,170.3,30
40.013306,-75.18775,3504,Vaux St,Philadelphia,PA,19129,171.7,30
40.013272,-75.187713,3502,Vaux St,Philadelphia,PA,19129,170.6,30
40.013339,-75.187788,3506,Vaux St,Philadelphia,PA,19129,172.2,30
40.013373,-75.187825,3508,Vaux St,Philadelphia,PA,19129,173.2,30
40.013406,-75.187864,3510,Vaux St,Philadelphia,PA,19129,174.2,30
40.013439,-75.187902,3512,Vaux St,Philadelphia,PA,19129,175.2,30
40.013472,-75.187938,3514,Vaux St,Philadelphia,PA,19129,176.2,30
40.013505,-75.187977,3516,Vaux St,Philadelphia,PA,19129,176.4,30
40.013538,-75.188016,3518,Vaux St,Philadelphia,PA,19129,177.4,30
40.013571,-75.188052,3520,Vaux St,Philadelphia,PA,19129,178.1,30
40.013607,-75.188094,3522,Vaux St,Philadelphia,PA,19129,178.6,30
40.01217,-75.189212,3501,Conrad St,Philadelphia,PA,19129,143.6,30
40.012211,-75.189259,3503,Conrad St,Philadelphia,PA,19129,145.8,30
40.012252,-75.189307,3505,Conrad St,Philadelphia,PA,19129,147.4,30
40.01232,-75.189315,3507,Conrad St,Philadelphia,PA,19129,149.1,30
40.012317,-75.189106,3461,Sunnyside Ave,Philadelphia,PA,19129,145.1,20
40.012361,-75.189362,3509,Conrad St,Philadelphia,PA,19129,150.1,30
40.012364,-75.189088,3459,Sunnyside Ave,Philadelphia,PA,19129,145.4,30
40.012393,-75.189045,3457,Sunnyside Ave,Philadelphia,PA,19129,145.3,30
40.012402,-75.18941,3511,Conrad St,Philadelphia,PA,19129,152.1,30
40.012423,-75.189002,3455,Sunnyside Ave,Philadelphia,PA,19129,145.5,30
40.012443,-75.189458,3513,Conrad St,Philadelphia,PA,19129,153.5,30
40.012452,-75.18896,3453,Sunnyside Ave,Philadelphia,PA,19129,145.6,30
40.012481,-75.188918,3451,Sunnyside Ave,Philadelphia,PA,19129,146.3,30
40.012532,-75.1889,3449,Sunnyside Ave,Philadelphia,PA,19129,147.3,30
40.012525,-75.189553,3517,Conrad St,Philadelphia,PA,19129,156.3,30
40.012542,-75.188835,3447,Sunnyside Ave,Philadelphia,PA,19129,148.1,30
40.012571,-75.188793,3445,Sunnyside Ave,Philadelphia,PA,19129,149,20
40.0126,-75.188749,3443,Sunnyside Ave,Philadelphia,PA,19129,149.9,20
40.012662,-75.189397,3462,Ainslie St,Philadelphia,PA,19129,162.6,20
40.012566,-75.1896,3519,Conrad St,Philadelphia,PA,19129,158,30
40.012665,-75.188706,3441,Sunnyside Ave,Philadelphia,PA,19129,150.9,20
40.012695,-75.188662,3439,Sunnyside Ave,Philadelphia,PA,19129,152.2,20
40.012723,-75.188622,3437,Sunnyside Ave,Philadelphia,PA,19129,152.9,20
40.012669,-75.189289,3460,Ainslie St,Philadelphia,PA,19129,164.8,20
40.012698,-75.189246,3458,Ainslie St,Philadelphia,PA,19129,165.7,20
40.01275,-75.188582,3435,Sunnyside Ave,Philadelphia,PA,19129,153.8,20
40.012727,-75.189204,3456,Ainslie St,Philadelphia,PA,19129,166.1,30
40.012807,-75.188504,3431,Sunnyside Ave,Philadelphia,PA,19129,155.5,20
40.012757,-75.189162,3454,Ainslie St,Philadelphia,PA,19129,166.5,20
40.012832,-75.188461,3429,Sunnyside Ave,Philadelphia,PA,19129,156.1,20
40.012782,-75.189115,3452,Ainslie St,Philadelphia,PA,19129,167,30
40.012812,-75.189073,3450,Ainslie St,Philadelphia,PA,19129,167.7,20
40.012865,-75.188414,3427,Sunnyside Ave,Philadelphia,PA,19129,157.3,30
